Crs Code,Name,Changed By,Changed Date,NLC,16 Char Name,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Address Line 5,Postcode,Longitude,Latitude,Station Operator,Staffing Level,CCTV Available,Info. avail. from staff,Opening Note,CIS,Help Points,Help Points Available,Ticket Office Opening Note,Ticket Office Available,Ticket Office Location,Pre-purchase Collection,Ticket Machine Available,Oyster Issued,Oyster Topup,Oyster Pickup,Use Oyster,Oyster Comments,Smartcard Issued,Smartcard Topup,Smartcard Pickup,Smartcard Validator,Smartcard Comments,Travelcard Zone,Penalty Fares,Penalty Fares TOCs,Penalty Fares URL,Always show Oyster,Note,Primary Tel Country,Primary Tel Nr.,Primary Tel Ext.,Url,Available,Operator Name,Primary Tel Country,Primary Tel Nr.,Primary Tel Ext.,Url,Opening Note,Available,Operator Name,1st Class Lounge Note,1st Class Lounge Opening Note,1st Class Lounge Available,Seated Area Available,Seated Area Location,Waiting Room Opening Note,Waiting Room Available,Waiting Room Location,Trolleys Available,Refreshments Note,Refreshments Available,WC Available,WC Location,Baby Change Available,Baby Change Location,Showers Available,Telephones Exist,Telephones Usage Type,Wifi Note,Wifi Available,Web Kiosk Opening Note,Web Kiosk Available,Postbox Available,Postbox Location,Tourist Info Available,Tourist Info Location,ATM Available,ATM Location,Bureau de Change Available,Shops Note,Shops Available,Helpline Note,Helpline Contact,Helpline Opening Note,Staff Help Note,Staff Help Opening Note,Staff Help Available,Induction Loop,Accessible Ticket Machines Note,Accessible Ticket Machines Available,Height Adjusted Counter Note,Height Adjusted Counter Available,Train Access Ramp Available,Accessible Taxis,Accessible Phones,Nearest Stations More Facilities Note,National Key Toilets Available,National Key Toilets Location,Step Free Access Note,Step Free Access Available,Ticket Gates Note,Ticket Gates Available,Impaired Mobility Set Down Note,Impaired Mobility Set Down Available,Wheelchairs Opening Note,Wheelchairs Available,Spaces,Sheltered,Security,Location,Note,Type,Rail Replacement Note,Rail Replacement Map,Taxi Rank,Onward Travel,Metro Services,Airport,Port,Car Hire,Cycle Hire,Station Alert,TOCs,Station Category,Page Guid,,,,,
MOT,Motspur Park,welsbys,30/04/2013,564500,MOTSPUR PARK,Station Road,Motspur Park,New Malden,,,KT3 6JJ,-0.239174525,51.39510266,SW,partTime,Y,,,,<p>Help points are available on all platforms</p>,Y,,Y,<p>At the foot of over bridge by the entrance to the platform</p>,TicketMachine,Y,N,Y,TicketMachine,Y,,N,N,NotAvailable,N,,Zone 4,,,,Y,<p>Please contact our Customer Service Centre on 0845 6000 650</p>,,,,,N,,,,,,,N,,,,N,N,,,Y,,N,,Y,N,,N,,N,N,CardsAndCoins,<p>Find WiFi Hotspots around Motspur Park station</p>,N,,N,N,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,N,,,,N,,<p>Motspur park is inaccessible to wheelchair users.</p>,N,,,,N,,N,0,No,Y,,,,"Claremont Avenue, by Lane to Station",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/MOT.pdf"">here</a></p>",,,,,,,SW,,85419ACEA5D34E74BA44544F63892CF4,,,,,
NTL,Netley,cevans,22/08/2013,591100,NETLEY,Station Road,Netley Abbey,Southampton,,,SO31 5AN,-1.341766118,50.8748526,SW,partTime,Y,,,,<p>Help points are available on all platforms</p>,Y,,Y,<p>Outside the main station entrance</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,Y,,,,,,N,<p>Please contact our Customer Service Centre on 0845 6000 650</p>,,,,,N,,,,,,,Y,,,,N,Y,,,N,,N,,N,N,,N,,N,N,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=SO31 5AN&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Netley station</a></p>",N,,N,N,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,Y,,,,N,,<p>There is level access to both platforms.</p> <p>Interchange is via a footbridge with steps</p>,N,,,,N,,N,8,Yes,Y,,"<p><span style=""font-family: ;"" data-sheets-rawvalue=""4 cycle lockers and 4 cycle stand parking spaces"">4 cycle lockers and 4 cycle stand parking spaces</span></p>","Lockers, Stands","<p>Station Forecourt, off 'The Badgers'</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/NTL.pdf"">here</a></p>",,,,,,,SW,,D58645F7B2264559A25496CE714FF9AE,,,,,
NEM,New Malden,cevans,22/08/2013,556700,NEW MALDEN,Coombe Road,New Malden,,,,KT3 4PX,-0.255939507,51.40407643,SW,partTime,Y,,,"DepartureScreens, Announcements",<p>Help points are available on all platforms</p>,Y,,Y,<p>At each station entrance</p>,TicketMachine,Y,N,Y,TicketMachine,Y,,N,N,NotAvailable,N,,Zone 4,,,,Y,Please contact our Customer Service Centre on 0845 6000 650,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,N,,Y,Y,,N,,N,Y,CardsAndCoins,<p>Find WiFi Hotspots around New Malden station</p>,N,,N,N,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,Y,N,,,,N,,<p>New Malden is unsuitable for wheelchair users. Wheelchair users wanting to join services at New Malden are advised to use Surbiton station.</p>,N,,,,N,,N,30,No,Y,<p>Under the railway bridge</p>,,Stands,"<p>To Kingston: High Street bus stop 'A' To Wimbledon: High Street Bus stop 'B' Terminating Services: High Street by Waitrose, bus stop 'H'</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/NEM.pdf"">here</a></p>",,,,,,"<p>Access for All Scheme includes the installation of Lifts for access to both platforms.&#160; The work starts June 2013, during this time some station facilities may be unavailable.&#160; Please observe the posters displayed at the station. </p> <p></p> <p>To allow the works to take place the station car park and drop off bays will be closed and the Bus Stop P for the K1 will be moved to Coombe Road. The work is expected to finish by March 2014. &#160;</p> <p></p>",SW,,5F9B7EE3582B400E8ECEA0A90BD1B4BD,,,,,
NWM,New Milton,JCollins,08/02/2014,588100,NEW MILTON,Station Approach,New Milton,Hants,,,BH25 6JS,-1.65781268,50.75573929,SW,partTime,Y,,,,<p>Help points are available on all platforms</p>,Y,,Y,<p>At entrance on both platforms</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,Y,,,,,,N,Please contact our Customer Service Centre on 0845 6000 650,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,N,,N,Y,,N,,N,N,CardsAndCoins,<p>Find WiFi Hotspots around New Milton station</p>,N,,N,N,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,Y,,,,N,,<p>There is step free access to each platform. Interchange - Is via a footbridge consisting of 50 steps</p>,N,,,,N,,N,48,Yes,Y,<p>Platforms 1 & 2</p>,,Stands,<p>Stop in car park off Station Road</p>,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/NWM.pdf"">here</a></p>",,,,,,"<div class=""msg""> <p dir=""ltr""><span>Ticket Office Improvements</span></p> <p dir=""ltr""><span>Thursday 20�to�Monday�24 February</span></p> <p dir=""ltr""><span>I am pleased to announce that the ticket office is to be refurbished to provide better access for all our customers.</span></p> <p dir=""ltr""><span>During the work, fully trained staff will be on hand in the booking hall to assist in using the self-service ticket machines and offer travel advice.</span></p> <p dir=""ltr""><span>Please allow extra time to buy your tickets as this may take longer than normal.</span></p> <p dir=""ltr""><span>Thank you for your patience and understanding while we complete this essential work.</span></p> </div>",SW,,77598847EFFB4E35BA947FB34BC457F2,,,,,
NBT,Norbiton,KMiller,28/01/2014,556800,NORBITON,Coombe Road West,Norbiton,Kingston,,,KT2 7AZ,-0.28409246,51.41249564,SW,partTime,Y,,,"DepartureScreens, Announcements",<p>Help points are available on all platforms</p>,Y,,Y,<p>Near the station entrance</p>,TicketMachine,Y,N,Y,TicketMachine,Y,,N,N,NotAvailable,N,,Zone 5,,,,Y,Please contact our Customer Service Centre on 0845 6000 650,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,N,Buffet,Y,Y,,N,,N,Y,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=KT2 7AZ&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Norbiton station</a></p>",N,,N,Y,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,Y,Y,,,,N,,<p>There is step free access via ramps to both platforms</p>,N,,,,N,,N,70,Yes,Y,<p>Platforms 1 & 2</p>,,Stands,<p>Front of Station</p>,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/NBT.pdf"">here</a></p>",,,,,,,SW,,FDDECCFD6D464B7EBEB69B31F41DDCFD,,,,,
NSH,North Sheen,welsbys,30/04/2013,560100,NORTH SHEEN,Manor Road,Richmond,,,,TW9 4QA,-0.286427277,51.46540691,SW,partTime,Y,,,,<p>Help points are available on all platforms</p>,Y,,Y,<p>Near the station entrance</p>,TicketMachine,Y,N,Y,TicketMachine,Y,,N,N,NotAvailable,N,,Zone 3,,,,Y,Please contact our Customer Service Centre on 0845 6000 650,,,,,N,,,,,,,Y,,,,N,N,,,N,,N,,N,N,,N,,N,N,CardsAndCoins,<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=TW9 4QA&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around North Sheen station</a>,N,,N,N,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,N,,,,N,,<p>North Sheen is inaccessible to Wheelchair Users. Wheelchair users wishing to board/alight at North Sheen are advised to join services at Richmond (approximately 10 minutes by road).</p>,N,,,,N,,N,0,No,Y,,,,"To Barnes, bus stops by entrance to Homebase store opposite station entrance in Manor Road. To Richmond, Manor Circus bus stop SM.",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/NSH.pdf"">here</a></p>",,,,,,,SW,,893767611FFD442CA2C587A665E082E3,,,,,
OVR,Overton,KThimbleby,20/01/2014,552600,OVERTON,Station Hill,Overton,,,,RG25 3JG,-1.260016842,51.25405532,SW,partTime,Y,,,,<p>Help points are available on all platforms</p>,Y,,Y,<p>On the platform (Salisbury direction) near to the station entrance.</p>,NotAvailable,N,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,Please contact our Customer Service Centre on 0845 6000 650,,,,,N,,,,,,,Y,,,,N,Y,,,N,,N,,N,N,,N,,N,Y,CardsAndCoins,<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=RG25 3JG&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Overton station</a>,N,,N,Y,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,N,,,<p>Basingstoke</p>,N,,"<p>Platform 2 only Car park & TO step free, Help Point.</p>",N,,,,N,,N,8,Yes,Y,<p>Platform 2</p>,"<p><span style=""font-family: ;"" data-sheets-rawvalue=""4 cycle lockers and 4 cycle stand parking spaces"">4 cycle lockers and 4 cycle stand parking spaces</span></p>","Lockers, Stands",<p>Station Hill - entrance to station forecourt. Services should also call at Village Post Office</p>,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/OVR.pdf"">here</a></p>",,,,,,,SW,,A044FD1154DA48E78AE75C00134EA0CD,,,,,
OXS,Oxshott,KMiller,23/01/2014,560200,OXSHOTT,Station Road,Warren Lane,Oxshott,,,KT22 0TA,-0.362408246,51.33639577,SW,partTime,Y,,,"DepartureScreens, Announcements",<p>Help points are available on all platforms</p>,Y,,Y,<p>Outside the booking hall</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,<p>Please contact our Customer Service Centre on 0845 6000 650</p>,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,N,,Y,Y,,N,,N,Y,CardsAndCoins,<p>Find WiFi Hotspots around Oxshott station</p>,N,,N,Y,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,N,,,,N,,<p>Platform One is fully accessible from the main station entrance. Platform 2 is accessible by either a footbridge 51 steps or a steeply sloped path&nbsp,from Warren Lane.</p>,N,,,,N,,N,60,Yes,Y,<p>Car park</p>,<p>Double cycle storage available.</p>,Stands,"<p>Warren Lane bust stops, at top of station approach</p>",,<p>Taxi office on the station</p>,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/OXS.pdf"">here</a></p>",,,,,,,SW,,95CFE3CF6A2B4D66883B0BF5E0217AB0,,,,
PKS,Parkstone (Dorset),KThimbleby,20/01/2014,588200,PARKSTONE DORSET,Station Road,Parkstone,Poole,,,BH14 8UD,-1.948956257,50.72310029,SW,partTime,N,,,,<p>Help points are available on all platforms</p>,Y,,Y,<p>On platform 1 outside the waiting room</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,Y,,,,,,N,Please contact our Customer Service Centre on 0845 6000 650,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,N,,N,N,,N,,N,N,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=BH14 8UD&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Parkstone (Dorset) station</a></p>",N,,N,N,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,N,,,,N,,<p>Only London Bound services are accessible to Wheelchair users.</p> <p>Country bound services are inaccessible.</p>,N,,,,N,,N,6,No,N,,,Stands,<p>Adjacent to station approach in Station road</p>,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/PKS.pdf"">here</a></p>",,,,,,,SW,,490C11B1E61B4CEEA0D0672881AD85C3,,,,,
PTR,Petersfield,KThimbleby,20/01/2014,565700,PETERSFIELD,Station Approach,Petersfield,,,,GU32 3EE,-0.941143838,51.00671834,SW,partTime,Y,,,,<p>Help points are available on all platforms</p>,Y,,Y,<p>Outside the station entrances</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,Y,,,,,,N,<p>Please contact our Customer Service Centre on 0845 6000 650</p>,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,N,,Y,Y,,Y,,N,Y,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=GU32 3EE&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Petersfield station</a></p>",N,,N,Y,,N,,N,,N,,Y,,,,,,Y,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,Y,,,,N,"<p>A National Key Scheme toilet is available. Radar Key available from station staff. If you wish to buy a 'National Key Scheme' key, [RADAR]. Their address is 12 City Forum, 250 City Road, London EC1V 8AF, tel: 020 7250 3222, minicom: 020 7250 4119, fax: 020 7250 0212, email: radar@radar.org.uk, web www.radar.org.uk/ site:</p>",<p>Petersfield is accessible to wheelchair users via level access at the London end of&nbsp,both platforms.</p> <p>Step free interchange is possible via a level crossing at the London end of the platforms.</p>,Y,,,,N,,N,144,Yes,Y,"<p><span style=""font-family: ;"" data-sheets-rawvalue=""platform 1, platform 2, plaform 1 car park and secure area"">Platform 1, platform 2, platform 1 car park and secure area</span></p>","<p><span style=""font-family: ;"" data-sheets-rawvalue=""6 cycle lockers and 138 cycle stand parking spaces"">6 cycle lockers and 138 cycle stand parking spaces</span></p>","Compound, Lockers, Stands","<p>Station forecourt, off Station Road</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/PTR.pdf"">here</a></p>",,,,,,,SW,,C32BD034F7F34104AB6E136B2CE2173C,,,,
PIN,Pinhoe,cevans,22/08/2013,575700,PINHOE,Pinhoe,Devon,,,,EX1 3SE,-3.47151678,50.73756769,SW,unstaffed,Y,,,,<p>Help points are available on all platforms</p>,Y,,N,<p>Located on Platform 2</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,<p>Please contact our Customer Service Centre on 0845 6000 650</p>,,,,,N,,,,,,,Y,,,,N,Y,,,N,,N,,N,N,,N,,N,N,CardsAndCoins,<p>Find WiFi Hotspots around Pinhoe station</p>,N,,N,N,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,N,,,,N,,<p>Pinhoe is a wheelchair accessible station. Interchange via level crossing outside station.</p>,N,,,,N,,N,4,No,Y,<p>Platform 1</p>,,Stands,"<p>Pinn Lane, outside station entrance</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/PIN.pdf"">here</a></p>",,,,,,,SW,,8A4B3FD275ED4F929CEE0A28213BBEF8,,,,,
POK,Pokesdown,cevans,22/08/2013,588500,POKESDOWN,Christchurch Road,Pokesdown,Bournemouth,,,BH7 6DL,-1.825106845,50.73107393,SW,partTime,Y,,,,<p>Help points are available on all platforms</p>,Y,,Y,<p>Inside&nbsp,station entrance&nbsp,near Ticket Office</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,Y,,,,,,N,<p>Please contact our Customer Service Centre on 0845 6000 650</p>,,,,,N,,,,,,,Y,,,,N,N,,,N,,N,,N,N,,N,,N,N,CardsAndCoins,<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=BH7 6DL&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Pokesdown station</a>,N,,N,N,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,N,,,,N,,<p>Pokesdown is an inaccessible station to wheelchair users. Customers are advised to use Bournemouth station or contact our Assisted Travel team (0800 52 82 100)</p>,N,,,,N,,N,48,Yes,Y,,,Stands,<p>Buses stop outside station on Christchurch Road. To Brockenhurst: Lay-by at station To Bournemouth: Bus stop by 'Seabournes Public House'</p>,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/POK.pdf"">here</a></p>",,,,,,,SW,,B71C5334931E4585BD04C0AAD6BCCE62,,,
POO,Poole,BAyres,29/01/2014,588300,POOLE.,Serpentine Road,Poole,,,,BH15 2BQ,-1.983326736,50.71941418,SW,partTime,Y,,,,<p>Help points are available on all platforms</p>,Y,,Y,<p>Located at entrance on platform 1 and in the booking hall</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,Y,,,,,,N,<p>Please contact our Customer Service Centre on 0845 6000 650</p>,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,Y,,Y,Y,,N,,N,Y,CardsAndCoins,<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=BH15 2BQ&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Poole station</a>,N,,N,N,,N,,N,,N,,N,,,,,,Y,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,Y,,,,N,"<p>A National Key Scheme toilet is available in the main booking hall. Radar Key available from station staff. If you wish to buy a 'National Key Scheme' key, [RADAR]. Their address is 12 City Forum, 250 City Road, London EC1V 8AF, tel: 020 7250 3222, minicom: 020 7250 4119, fax: 020 7250 0212, email: radar@radar.org.uk, web www.radar.org.uk/ site:</p>",<p>There is level access to both side of the station.</p> <p>Interchange between platforms is via a ramped underpass at the London end of the platforms.</p>,Y,,,,N,,Y,32,,Y,,,Stands,"<p>Station forecourt, off Serpintine Road</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/POO.pdf"">here</a></p>",,,,,,,SW,,69ED89B77FEE489AABF179DFFC4808F7,,,,,
PTC,Portchester,KThimbleby,20/01/2014,592800,PORTCHESTER,Station Road,Portchester,,,,PO16 8BJ,-1.124238788,50.84873765,SW,partTime,Y,,,,<p>Help points are available on all platforms</p>,Y,,Y,<p>On Platform 1</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,<p>Please contact our Customer Service Centre on 0845 6000 650</p>,,,,,N,,,,,,,Y,,,,N,N,,,N,,N,,N,N,,N,,N,N,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=PO16 8BJ&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Portchester station</a></p>",N,,N,N,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,N,,,<p>Fareham or Cosham</p>,N,,The down platform towards Portsmouth is accessible via a very steep ramp. Some wheelchair users may require assistance. There is no wheelchair access to the up platform towards Southampton.,N,,,,N,,N,10,,Y,,,Stands,"<p class=""MsoNormal"">To Cosham: East Street A27 Bus Shelter</p> <p>To Fareham: East Street A27 Bus Shelter by Red Lion Pub</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/PTC.pdf"">here</a></p>",,,,,,,SW,,558C37B1EB224B6BAC88B16FD6FAC65A,,,,,
PMS,Portsmouth & Southsea,BAyres,29/01/2014,553700,-,Commercial Road,Portsmouth,,,,PO1 1EQ,-1.090909302,50.79848174,SW,fullTime,Y,,,,<p>Help points are available on all platforms</p>,Y,,Y,<p>On the station concourse by ticket barriers</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,<p>Please contact South West Trains Customer Service Centre on 0845 6000 650</p>,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,N,Food outlet (Seating available),Y,Y,,Y,,N,Y,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=PO1 1EQ&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Portsmouth & Southsea station</a></p>",N,,N,N,,N,,Y,Located on concourse,N,News agent Hairdresser Passport Photo Booth,Y,,,,,,Y,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,Y,Y,,,,N,"<p>A National Key Scheme toilet is available the lower concourse. Radar Key available from station staff. If you wish to buy a 'National Key Scheme' key, [RADAR]. Their address is 12 City Forum, 250 City Road, London EC1V 8AF, tel: 020 7250 3222, minicom: 020 7250 4119, fax: 020 7250 0212, email: radar@radar.org.uk, web www.radar.org.uk/ site:</p>",<p>There is level access to the low level platforms at Portsmouth and Southsea. There is lift access to the high level platforms (for services to Portsmouth and fast trains to Guildford and London Waterloo).</p> <p>The lifts are available 24 hours&nbsp,</p>,Y,,,,N,,Y,44,Yes,Y,"<p><span style=""font-family: ;"" data-sheets-rawvalue=""concourse and car park"">Concourse and car park</span></p>",,Stands,<p>Station Street bus stop at&nbsp,side of Railway Station near Matalan car park.</p>,,<p>Located outside front of station with 2 steps to road or dropped curb.</p>,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/PMS.pdf"">here</a></p>",,,<p>Continental Ferry Port</p>,,,,SW,,27157097F1E84966AA6BA5C336F19EC8,,,
PMH,Portsmouth Harbour,KThimbleby,20/01/2014,554000,PORTSMOUTH HBR,The Hard Interchange,Portsmouth,,,,PO1 3EB,-1.10783895,50.79694873,SW,fullTime,Y,,,,<p>Help points are available on all platforms</p>,Y,,Y,<p>In the booking hall and at entrance from Ferry terminal</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,<p>Please contact South West Trains Customer Service Centre on 0845 6000 650</p>,,,,,N,,,020 7401 7861,,,,Y,,,,N,Y,,,N,,Y,,Y,Y,,N,,N,Y,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=PO1 3EB&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Portsmouth Harbour station</a></p>",N,,N,N,,N,,N,,N,,N,,,,,,Y,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,Y,,,,N,,<p>Portsmouth Harbour is accessible to wheelchair users. There is level access to all platforms.</p> <p>Access to the Isle of Wight ferry is via a steep ramp.</p>,Y,,,,N,,Y,90,Yes,Y,"<p><span style=""font-family: ;"" data-sheets-rawvalue=""platform 1 and outside booking hall"">Platform 1 and outside booking hall</span></p>",,Stands,"<p>Station Forecourt, The Hard Interchange</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/PMH.pdf"">here</a></p>",,,<p>Isle of Wight Ferry and Gosport Ferry.</p>,,,,SW,,DAFE5F6A6CFD4085B1E8CE3404632DD4,,,,,
